order_id,customer_id,order_date,status,subtotal,discount_pct,shipping_cost,tax,total,payment_method,coupon_code
ORD-000035,C00460,2022-11-29,completed,1341.10,0.00,0.00,107.29,1461.38,bank_transfer,
ORD-000036,C00470,2022-11-16,processing,25.67,20.00,24.99,2.05,32.58,paypal,FLASH15
ORD-000037,C00297,2025-03-20,cancelled,1672.22,25.00,15.99,133.78,1397.93,credit_card,FLASH15
ORD-000038,C00042,2025-02-02,completed,305.44,0.00,12.99,24.44,335.87,bank_transfer,SAVE10
ORD-000039,C00095,2023-02-04,completed,1464.83,0.00,7.99,117.19,1588.01,credit_card,
ORD-000040,C00457,2022-06-28,completed,2439.96,10.00,5.99,195.20,2407.15,apple_pay,
ORD-000041,C00058,2024-01-10,processing,1002.93,10.00,9.99,80.23,995.86,apple_pay,
ORD-000042,C00292,2023-09-23,completed,2444.15,20.00,0.00,195.53,2156.84,bank_transfer,WELCOME20
ORD-000043,C00454,2024-05-18,completed,1825.58,10.00,0.00,146.05,1789.07,credit_card,
ORD-000044,C00311,2024-12-11,completed,2466.80,0.00,12.99,197.34,2664.14,credit_card,WELCOME20
ORD-000045,C00280,2025-02-12,completed,1163.37,25.00,0.00,93.07,971.59,credit_card,WELCOME20
ORD-000046,C00297,2022-03-28,completed,2059.66,0.00,7.99,164.77,2240.42,bank_transfer,
ORD-000047,C00028,2022-11-12,shipped,667.75,15.00,0.00,53.42,629.00,google_pay,
ORD-000048,C00523,2023-05-17,processing,85.68,0.00,15.99,6.85,92.53,apple_pay,
ORD-000049,C00493,2023-06-13,completed,1575.57,15.00,0.00,126.05,1475.27,credit_card,
ORD-000050,C00167,2022-10-27,completed,809.41,0.00,9.99,64.75,874.16,credit_card,
ORD-000051,C00370,2023-12-31,completed,136.06,0.00,24.99,10.88,146.94,debit_card,
ORD-000052,C00097,2022-12-09,completed,1366.13,5.00,7.99,109.29,1415.10,apple_pay,
ORD-000053,C00361,2022-01-27,shipped,355.32,0.00,9.99,28.43,399.74,google_pay,SAVE10
ORD-000054,C00167,2022-11-13,completed,1265.91,0.00,24.99,101.27,1392.17,credit_card,WELCOME20
ORD-000055,C00472,2022-08-27,processing,2049.83,0.00,15.99,163.99,2223.81,paypal,SAVE10
ORD-000056,C00143,2024-12-07,shipped,1912.52,5.00,0.00,153.00,1977.89,credit_card,
ORD-000057,C00228,2022-10-19,completed,1724.80,0.00,0.00,137.98,1868.77,credit_card,
ORD-000058,C00436,2022-08-17,completed,208.17,15.00,12.99,16.65,193.60,debit_card,
ORD-000059,C00034,2024-11-17,shipped,1489.04,15.00,0.00,119.12,1392.80,credit_card,
ORD-000060,C00309,2022-07-17,completed,1959.19,25.00,5.99,156.74,1632.12,credit_card,SAVE10
ORD-000061,C00030,2023-07-23,completed,2372.75,5.00,9.99,189.82,2443.93,debit_card,VIP25
ORD-000062,C00070,2025-03-30,completed,1911.66,20.00,5.99,152.93,1688.25,paypal,
ORD-000063,C00005,2022-07-22,cancelled,2311.72,20.00,15.99,184.94,2044.30,credit_card,FLASH15
ORD-000064,C00110,2023-12-28,completed,2453.53,10.00,5.99,196.28,2429.45,debit_card,WELCOME20
ORD-000065,C00116,2023-10-06,shipped,322.18,0.00,24.99,25.77,347.95,bank_transfer,SAVE10
ORD-000066,C00296,2022-03-25,completed,219.39,15.00,0.00,17.55,217.02,paypal,FLASH15
ORD-000067,C00320,2024-06-28,completed,576.30,10.00,7.99,46.10,577.76,debit_card,
ORD-000068,C00488,2024-01-23,cancelled,460.55,15.00,0.00,36.84,441.30,bank_transfer,VIP25
ORD-000069,C00088,2024-03-19,completed,1010.55,25.00,0.00,80.84,838.76,credit_card,SAVE10
ORD-000070,C00204,2024-04-07,completed,320.06,10.00,15.99,25.60,321.65,paypal,WELCOME20
ORD-000071,C00365,2024-04-08,completed,2469.00,20.00,7.99,197.52,2172.72,bank_transfer,
ORD-000072,C00126,2024-10-15,completed,588.59,0.00,0.00,47.09,635.68,credit_card,
ORD-000073,C00569,2023-01-02,completed,965.84,5.00,0.00,77.27,1002.81,credit_card,
ORD-000074,C00543,2023-02-18,shipped,744.50,15.00,15.99,59.56,717.38,paypal,VIP25
ORD-000075,C00352,2025-01-12,shipped,1373.35,0.00,12.99,109.87,1483.22,google_pay,FLASH15
ORD-000076,C00323,2024-06-25,processing,1157.25,0.00,0.00,92.58,1274.82,paypal,
ORD-000077,C00523,2023-10-02,completed,1793.57,15.00,0.00,143.49,1684.01,bank_transfer,FLASH15
ORD-000078,C00161,2024-03-12,completed,669.53,25.00,12.99,53.56,565.70,paypal,SAVE10
ORD-000079,C00063,2022-04-03,completed,333.57,5.00,9.99,26.69,343.58,apple_pay,WELCOME20
ORD-000080,C00100,2024-01-02,completed,1038.65,0.00,5.99,83.09,1127.73,debit_card,
ORD-000081,C00087,2022-05-15,processing,2174.32,0.00,9.99,173.95,2348.27,credit_card,VIP25
ORD-000082,C00334,2024-05-15,completed,1426.60,10.00,7.99,114.13,1398.07,bank_transfer,
ORD-000083,C00023,2024-02-13,refunded,1432.33,5.00,0.00,114.59,1491.29,credit_card,
ORD-000084,C00345,2023-11-27,completed,429.07,0.00,9.99,34.33,476.39,debit_card,FLASH15
ORD-000085,C00078,2025-01-02,shipped,546.99,0.00,0.00,43.76,598.74,google_pay,
ORD-000086,C00095,2025-03-30,shipped,250.41,5.00,7.99,20.03,257.92,bank_transfer,WELCOME20
ORD-000087,C00215,2022-06-07,completed,1634.07,0.00,24.99,130.73,1772.79,google_pay,VIP25
ORD-000088,C00321,2024-04-03,completed,639.39,20.00,15.99,51.15,587.65,credit_card,
ORD-000089,C00192,2023-03-13,completed,1657.10,15.00,7.99,132.57,1566.09,google_pay,
ORD-000090,C00062,2024-01-17,completed,1164.28,0.00,0.00,93.14,1265.41,google_pay,WELCOME20
ORD-000091,C00327,2022-05-12,processing,1590.31,10.00,7.99,127.22,1566.49,credit_card,
ORD-000092,C00242,2022-08-21,completed,387.66,0.00,5.99,31.01,426.66,bank_transfer,FLASH15
ORD-000093,C00447,2022-03-17,completed,516.95,0.00,0.00,41.36,558.31,paypal,
ORD-000094,C00181,2022-03-28,completed,2410.01,15.00,0.00,192.80,2241.31,credit_card,SAVE10
ORD-000095,C00306,2024-04-13,processing,2243.48,0.00,12.99,179.48,2422.96,debit_card,
ORD-000096,C00596,2024-12-04,cancelled,1665.58,25.00,24.99,133.25,1390.42,bank_transfer,
ORD-000097,C00244,2023-10-04,completed,833.28,25.00,12.99,66.66,697.61,google_pay,
ORD-000098,C00148,2023-03-15,completed,2425.26,15.00,12.99,194.02,-2263.48,credit_card,FLASH15
ORD-000099,C00384,2022-08-20,completed,801.48,10.00,15.99,64.12,791.44,paypal,
ORD-000100,C00372,2024-01-24,completed,2056.09,0.00,0.00,164.49,2220.58,debit_card,
ORD-000101,C00394,2024-01-14,completed,2259.35,0.00,24.99,180.75,2446.09,bank_transfer,WELCOME20
ORD-000102,C00009,2024-03-15,processing,2319.86,0.00,7.99,185.59,2505.45,debit_card,
ORD-000103,C00216,2022-11-25,processing,2290.99,5.00,12.99,183.28,2359.72,paypal,
ORD-000104,C00523,2024-04-25,completed,2317.35,5.00,12.99,185.39,2386.87,credit_card,
ORD-000105,C00068,2025-01-26,completed,1848.40,15.00,0.00,147.87,1719.01,credit_card,FLASH15
ORD-000106,C00140,2023-02-14,completed,1576.32,5.00,0.00,126.11,1623.61,credit_card,
ORD-000107,C00134,2024-04-20,shipped,1984.72,5.00,15.99,158.78,2060.25,credit_card,
ORD-000108,C00178,2023-11-02,completed,2001.83,0.00,0.00,160.15,2174.97,apple_pay,
ORD-000109,C00403,2025-03-14,processing,572.85,0.00,24.99,45.83,624.67,credit_card,FLASH15
ORD-000110,C00204,2022-12-12,completed,138.71,25.00,12.99,11.10,123.12,credit_card,
ORD-000111,C00377,2025-03-07,completed,306.62,20.00,12.99,24.53,285.82,bank_transfer,
ORD-000112,C00230,2023-01-26,shipped,2365.94,0.00,7.99,189.28,2571.21,google_pay,
ORD-000113,C00442,2023-03-18,processing,2488.09,0.00,5.99,199.05,2700.13,credit_card,WELCOME20
ORD-000114,C00150,2023-06-21,completed,600.18,15.00,5.99,48.01,568.16,bank_transfer,
ORD-000115,C00011,2023-10-25,completed,2436.38,10.00,5.99,194.91,2400.64,google_pay,
ORD-000116,C00263,2025-02-14,completed,161.00,5.00,5.99,12.88,181.82,apple_pay,
ORD-000117,C00047,2024-10-30,completed,1554.85,0.00,12.99,124.39,1689.23,credit_card,VIP25
ORD-000118,C00043,2023-06-18,completed,437.12,15.00,9.99,34.97,422.51,credit_card,
ORD-000119,C00325,2024-06-05,shipped,367.36,0.00,9.99,29.39,396.75,credit_card,FLASH15
ORD-000120,C00288,2024-05-30,shipped,718.07,0.00,7.99,57.45,800.51,apple_pay,WELCOME20
ORD-000121,C00169,2024-10-03,completed,1912.73,0.00,24.99,153.02,2081.74,credit_card,
ORD-000122,C00153,2023-01-11,completed,104.12,0.00,0.00,8.33,128.44,google_pay,
ORD-000123,C00561,2024-01-01,completed,2472.21,20.00,15.99,197.78,2191.53,bank_transfer,
ORD-000124,C00152,2022-07-11,completed,521.28,0.00,0.00,41.70,562.98,paypal,
ORD-000125,C00218,2022-01-09,completed,1322.15,25.00,0.00,105.77,1110.37,credit_card,
ORD-000126,C00569,2023-11-05,completed,79.52,0.00,12.99,6.36,95.87,credit_card,SAVE10
ORD-000127,C00158,2024-07-31,completed,2079.29,15.00,15.99,166.34,1941.73,credit_card,SAVE10
ORD-000128,C00045,2024-07-16,completed,822.41,25.00,0.00,65.79,688.59,credit_card,
ORD-000129,C00331,2022-05-25,shipped,1374.68,25.00,12.99,109.97,1140.98,google_pay,
ORD-000130,C00183,2024-03-27,completed,236.63,0.00,0.00,18.93,268.55,google_pay,
ORD-000131,C00158,2024-10-02,completed,2005.73,0.00,0.00,160.46,2176.18,credit_card,SAVE10
ORD-000132,C00205,2024-03-05,completed,1198.95,25.00,12.99,95.92,995.13,google_pay,SAVE10
ORD-000133,C00191,2024-05-22,completed,245.97,20.00,9.99,19.68,232.44,debit_card,
ORD-000134,C00583,2024-12-10,completed,223.67,15.00,12.99,17.89,208.01,bank_transfer,
ORD-000135,C00153,2023-09-08,refunded,2106.22,20.00,12.99,168.50,1861.46,credit_card,VIP25
ORD-000136,C00079,2024-11-17,processing,282.47,10.00,12.99,22.60,276.82,bank_transfer,
ORD-000137,C00260,2025-04-14,completed,218.20,20.00,0.00,17.46,192.02,bank_transfer,
ORD-000138,C00187,2022-04-03,shipped,221.98,0.00,9.99,17.76,255.73,bank_transfer,
ORD-000139,C00272,2023-01-19,completed,539.50,0.00,7.99,43.16,582.66,google_pay,VIP25
ORD-000140,C00019,2022-08-27,completed,48.06,15.00,15.99,3.84,57.69,bank_transfer,
ORD-000141,C00370,2024-03-19,completed,2014.53,0.00,0.00,161.16,2175.69,credit_card,
ORD-000142,C00115,2023-01-21,shipped,2149.64,0.00,15.99,171.97,2321.61,debit_card,WELCOME20
ORD-000143,C00196,2024-08-07,completed,383.19,10.00,0.00,30.66,375.53,credit_card,
ORD-000144,C00456,2024-08-23,cancelled,63.78,15.00,5.99,5.10,65.31,paypal,
ORD-000145,C00402,2022-01-17,completed,270.12,10.00,12.99,21.61,280.71,paypal,
ORD-000146,C00500,2024-11-17,completed,1483.73,25.00,15.99,118.70,1237.49,credit_card,VIP25
ORD-000147,C00020,2023-10-09,completed,1389.84,0.00,12.99,111.19,1517.02,credit_card,FLASH15
ORD-000148,C00356,2024-06-12,completed,66.71,0.00,5.99,5.34,88.04,apple_pay,FLASH15
ORD-000149,C00238,2025-04-18,completed,2274.04,5.00,15.99,181.92,2342.26,paypal,WELCOME20
ORD-000150,C00427,2024-01-08,shipped,1992.99,0.00,5.99,159.44,2160.42,credit_card,FLASH15
ORD-000151,C00133,2022-11-17,completed,1520.29,0.00,12.99,121.62,1657.90,paypal,
ORD-000152,C00215,2022-02-07,completed,906.59,0.00,9.99,72.53,979.12,credit_card,VIP25
ORD-000153,C00033,2023-11-23,shipped,1085.09,25.00,5.99,86.81,900.62,debit_card,FLASH15
ORD-000154,C00265,2023-12-29,refunded,1926.89,20.00,7.99,154.15,1695.66,credit_card,
ORD-000155,C00449,2022-08-16,shipped,2437.03,25.00,0.00,194.96,2047.72,credit_card,VIP25
ORD-000156,C00108,2022-08-30,completed,2179.11,5.00,0.00,174.33,2252.47,bank_transfer,VIP25
ORD-000157,C00569,2022-07-23,shipped,398.42,5.00,9.99,31.87,410.37,credit_card,
ORD-000158,C00450,2022-01-14,cancelled,624.61,15.00,9.99,49.97,588.88,credit_card,
ORD-000159,C00273,2024-04-29,completed,911.20,0.00,0.00,72.90,1009.09,google_pay,
ORD-000160,C00142,2024-04-26,shipped,2296.28,15.00,24.99,183.70,2145.53,credit_card,FLASH15
ORD-000161,C00150,2024-11-25,shipped,2359.95,0.00,9.99,188.80,2558.74,google_pay,
ORD-000162,C00445,2022-03-17,completed,1655.54,0.00,0.00,132.44,1812.97,paypal,WELCOME20
ORD-000163,C00412,2025-02-07,processing,2185.76,5.00,9.99,174.86,2251.33,paypal,VIP25
ORD-000164,C00151,2024-07-02,shipped,1615.04,20.00,15.99,129.20,1431.23,google_pay,
ORD-000165,C00309,2025-01-05,completed,846.21,0.00,24.99,67.70,938.90,paypal,
ORD-000166,C00096,2023-10-02,completed,1310.52,0.00,0.00,104.84,1415.36,paypal,
ORD-000167,C00312,2024-10-31,shipped,289.45,0.00,9.99,23.16,320.60,apple_pay,
ORD-000168,C00049,2022-09-13,shipped,1130.11,25.00,0.00,90.41,953.98,apple_pay,
ORD-000169,C00240,2023-08-06,completed,1672.30,25.00,0.00,133.78,1401.00,debit_card,
ORD-000170,C00336,2023-01-30,completed,2059.76,5.00,15.99,164.78,2121.55,credit_card,WELCOME20
ORD-000171,C00422,2022-05-08,completed,1070.84,0.00,15.99,85.67,1162.50,bank_transfer,
ORD-000172,C00379,2024-04-04,completed,1476.78,20.00,12.99,118.14,1307.56,bank_transfer,WELCOME20
ORD-000173,C00451,2024-09-29,completed,1833.32,10.00,0.00,146.67,1796.65,credit_card,FLASH15
ORD-000174,C00469,2024-11-17,completed,2160.23,0.00,5.99,172.82,2349.04,bank_transfer,
ORD-000175,C00161,2024-01-27,cancelled,2305.42,0.00,12.99,184.43,2489.85,credit_card,SAVE10
ORD-000176,C00297,2022-11-10,completed,307.59,0.00,9.99,24.61,340.19,paypal,FLASH15
ORD-000177,C00029,2022-10-19,shipped,1962.72,10.00,0.00,157.02,1931.46,paypal,
ORD-000178,C00188,2024-09-28,shipped,20.18,20.00,9.99,1.61,17.76,credit_card,WELCOME20
ORD-000179,C00493,2025-03-04,completed,1139.15,5.00,12.99,91.13,1189.31,credit_card,
ORD-000180,C00472,2024-07-08,shipped,385.22,5.00,0.00,30.82,409.77,google_pay,
ORD-000181,C00405,2022-04-04,completed,2395.83,15.00,7.99,191.67,2228.12,credit_card,
ORD-000182,C00317,2022-09-11,completed,1615.13,0.00,5.99,129.21,1769.33,credit_card,
ORD-000183,C00194,2024-10-26,shipped,2243.71,0.00,24.99,179.50,2423.21,credit_card,
ORD-000184,C00211,2025-04-01,completed,1118.91,20.00,9.99,89.51,997.63,credit_card,FLASH15
ORD-000185,C00024,2023-01-05,completed,1046.12,20.00,9.99,83.69,933.58,paypal,
ORD-000186,C00118,2025-01-14,cancelled,432.87,0.00,0.00,34.63,475.49,credit_card,
ORD-000187,C00315,2022-12-13,cancelled,161.40,5.00,0.00,12.91,166.24,credit_card,
ORD-000188,C00400,2022-10-19,completed,1040.86,5.00,7.99,83.27,1085.08,credit_card,
ORD-000189,C00208,2025-04-15,completed,602.68,20.00,24.99,48.21,543.35,credit_card,
ORD-000190,C00063,2025-02-06,completed,1026.59,15.00,0.00,82.13,967.72,debit_card,
ORD-000191,C00276,2025-04-15,completed,1692.62,0.00,24.99,135.41,1828.03,paypal,
ORD-000192,C00417,2024-10-21,completed,520.59,0.00,9.99,41.65,587.23,credit_card,
ORD-000193,C00434,2025-02-10,cancelled,1137.58,0.00,15.99,91.01,1236.58,credit_card,
ORD-000194,C00062,2024-09-14,cancelled,694.16,0.00,12.99,55.53,759.68,debit_card,
ORD-000195,C00289,2024-12-29,completed,1414.26,0.00,0.00,113.14,1540.39,credit_card,
ORD-000196,C00287,2023-03-08,processing,1531.96,5.00,9.99,122.56,1585.91,bank_transfer,
ORD-000197,C00252,2023-10-21,completed,863.95,15.00,9.99,69.12,803.47,credit_card,
ORD-000198,C00488,2022-01-20,completed,1686.68,10.00,24.99,134.93,1668.94,google_pay,VIP25
ORD-000199,C00084,2022-06-08,shipped,1353.54,15.00,0.00,108.28,1268.78,google_pay,
ORD-000200,C00367,2022-01-18,completed,325.04,5.00,5.99,26.00,350.78,credit_card,
ORD-000201,C00021,2024-01-03,shipped,490.91,25.00,7.99,39.27,413.45,debit_card,FLASH15
ORD-000202,C00372,2024-10-06,completed,2262.70,25.00,5.99,181.02,1878.04,debit_card,WELCOME20
ORD-000203,C00114,2025-03-11,processing,1258.31,0.00,24.99,100.66,1364.96,credit_card,
ORD-000204,C00132,2022-09-18,shipped,660.17,25.00,5.99,52.81,572.93,paypal,
ORD-000205,C00024,2024-12-27,refunded,1541.92,20.00,15.99,123.35,1356.89,google_pay,
ORD-000206,C00331,2024-04-13,completed,695.98,20.00,15.99,55.68,628.45,apple_pay,VIP25
ORD-000207,C00045,2023-04-05,processing,131.71,10.00,24.99,10.54,145.07,apple_pay,
ORD-000208,C00402,2022-06-17,completed,2202.04,0.00,5.99,176.16,2391.19,credit_card,
ORD-000209,C00202,2023-09-29,completed,171.17,0.00,0.00,13.69,200.85,google_pay,
ORD-000210,C00343,2023-05-22,shipped,282.98,0.00,9.99,22.64,305.62,apple_pay,VIP25
ORD-000211,C00243,2024-06-17,cancelled,1913.78,15.00,0.00,153.10,1779.82,credit_card,
ORD-000212,C00387,2022-05-14,completed,1959.88,0.00,15.99,156.79,2116.67,paypal,
ORD-000213,C00443,2022-04-25,completed,1404.76,0.00,12.99,112.38,1530.13,credit_card,
ORD-000214,C00421,2022-01-22,completed,1141.73,15.00,12.99,91.34,1061.81,apple_pay,
ORD-000215,C00465,2025-04-18,completed,493.32,0.00,0.00,39.47,532.79,debit_card,
ORD-000216,C00130,2023-06-09,completed,898.15,15.00,15.99,71.85,835.28,debit_card,
ORD-000217,C00046,2023-10-01,completed,1467.54,20.00,9.99,117.40,1299.43,credit_card,
ORD-000218,C00481,2023-12-04,completed,738.29,0.00,24.99,59.06,797.35,credit_card,
ORD-000219,C00056,2023-02-05,completed,2441.63,0.00,0.00,195.33,2646.95,debit_card,FLASH15
ORD-000220,C00479,2023-11-10,completed,2132.24,25.00,9.99,170.58,1777.75,google_pay,SAVE10
ORD-000221,C00167,2022-03-28,completed,1247.39,0.00,5.99,99.79,1353.17,bank_transfer,
ORD-000222,C00219,2023-11-10,completed,2021.07,10.00,5.99,161.69,1993.64,credit_card,
ORD-000223,C00372,2024-01-03,completed,89.59,0.00,0.00,7.17,104.75,bank_transfer,
ORD-000224,C00369,2022-03-02,completed,509.82,0.00,0.00,40.79,556.60,paypal,
ORD-000225,C00348,2023-05-19,shipped,458.68,0.00,0.00,36.69,503.36,credit_card,
ORD-000226,C00141,2022-08-16,completed,855.88,0.00,7.99,68.47,940.34,debit_card,SAVE10
ORD-000227,C00382,2024-12-15,completed,2443.10,25.00,12.99,195.45,2027.77,credit_card,
ORD-000228,C00134,2023-01-28,shipped,1338.40,5.00,9.99,107.07,1391.54,debit_card,
ORD-000229,C00194,2023-08-26,processing,1977.13,5.00,5.99,158.17,2036.44,paypal,
ORD-000230,C00544,2022-06-16,completed,1964.89,25.00,0.00,157.19,1630.86,google_pay,VIP25
ORD-000231,C00384,2024-08-08,completed,459.81,5.00,24.99,36.78,489.59,bank_transfer,FLASH15
ORD-000232,C00275,2025-04-10,completed,1629.60,0.00,5.99,130.37,1765.96,bank_transfer,
ORD-000233,C00406,2024-05-20,completed,2223.44,25.00,0.00,177.88,1855.45,paypal,VIP25
ORD-000234,C00087,2022-06-22,completed,748.19,20.00,9.99,59.86,664.40,credit_card,FLASH15
ORD-000235,C00345,2024-08-15,completed,1089.78,5.00,15.99,87.18,1132.46,paypal,WELCOME20
ORD-000236,C00026,2023-04-24,completed,675.08,0.00,9.99,54.01,729.09,paypal,VIP25
ORD-000237,C00081,2023-04-12,shipped,259.55,0.00,9.99,20.76,280.31,debit_card,SAVE10
ORD-000238,C00202,2023-05-28,completed,767.25,0.00,5.99,61.38,828.63,paypal,
ORD-000239,C00307,2023-12-11,completed,1961.07,10.00,12.99,156.89,1921.85,bank_transfer,VIP25
ORD-000240,C00153,2023-04-12,processing,578.91,0.00,15.99,46.31,631.21,bank_transfer,FLASH15
ORD-000241,C00349,2023-10-04,shipped,2116.82,10.00,12.99,169.35,2080.47,bank_transfer,FLASH15
ORD-000242,C00031,2025-03-28,completed,2186.27,0.00,0.00,174.90,2377.16,apple_pay,SAVE10
ORD-000243,C00231,2024-04-06,completed,1910.66,20.00,7.99,152.85,1691.37,credit_card,
ORD-000244,C00033,2022-11-11,processing,2443.45,5.00,12.99,195.48,2529.74,debit_card,WELCOME20
ORD-000245,C00066,2023-01-21,completed,1194.82,5.00,15.99,95.59,1238.65,credit_card,
ORD-000246,C00107,2022-12-30,completed,94.67,25.00,15.99,7.57,78.58,credit_card,
ORD-000247,C00072,2024-03-01,processing,720.29,0.00,7.99,57.62,802.90,credit_card,FLASH15
ORD-000248,C00059,2022-01-23,completed,441.99,10.00,12.99,35.36,433.15,credit_card,
ORD-000249,C00429,2022-05-21,completed,981.65,0.00,0.00,78.53,1066.17,paypal,WELCOME20
ORD-000250,C00487,2025-03-23,completed,2348.80,25.00,5.99,187.90,1974.49,bank_transfer,
ORD-000251,C00207,2022-10-20,completed,1122.64,10.00,5.99,89.81,1125.18,apple_pay,
ORD-000252,C00579,2025-03-25,completed,112.13,0.00,7.99,8.97,137.09,apple_pay,
ORD-000253,C00401,2022-12-25,completed,1046.41,0.00,12.99,83.71,1146.11,google_pay,
ORD-000254,C00098,2022-03-31,completed,610.64,0.00,7.99,48.85,684.48,paypal,
ORD-000255,C00223,2024-04-22,processing,2481.09,20.00,0.00,198.49,2193.35,credit_card,
ORD-000256,C00334,2022-12-04,completed,643.13,20.00,0.00,51.45,581.94,credit_card,
ORD-000257,C00473,2024-03-28,completed,2141.60,10.00,0.00,171.33,2098.77,paypal,
ORD-000258,C00140,2024-08-08,completed,1219.63,0.00,0.00,97.57,1342.19,debit_card,FLASH15
ORD-000259,C00144,2023-07-26,completed,2106.28,0.00,0.00,168.50,2274.78,credit_card,
ORD-000260,C00128,2024-03-11,completed,433.61,0.00,7.99,34.69,468.30,bank_transfer,SAVE10
ORD-000261,C00183,2022-03-12,completed,2233.33,20.00,5.99,178.67,1981.32,credit_card,VIP25
ORD-000262,C00106,2023-09-24,completed,1118.31,25.00,0.00,89.46,928.20,google_pay,
ORD-000263,C00256,2023-05-04,completed,511.96,0.00,12.99,40.96,552.92,credit_card,SAVE10
ORD-000264,C00197,2022-05-10,completed,563.11,0.00,0.00,45.05,608.16,credit_card,WELCOME20
ORD-000265,C00111,2023-10-23,shipped,1411.70,0.00,5.99,112.94,1549.63,google_pay,WELCOME20
ORD-000266,C00124,2022-08-05,completed,901.09,0.00,0.00,72.09,986.17,apple_pay,
ORD-000267,C00399,2023-03-27,completed,179.05,0.00,9.99,14.32,193.37,credit_card,
ORD-000268,C00421,2024-10-20,completed,2458.01,0.00,24.99,196.64,2654.65,paypal,
ORD-000269,C00333,2024-03-06,refunded,1699.58,0.00,9.99,135.97,1835.55,apple_pay,FLASH15
ORD-000270,C00070,2025-04-13,completed,1130.55,20.00,5.99,90.44,1019.87,credit_card,
ORD-000271,C00022,2022-09-12,completed,782.49,10.00,5.99,62.60,766.84,credit_card,
ORD-000272,C00384,2023-02-18,completed,391.90,0.00,0.00,31.35,429.24,bank_transfer,SAVE10
ORD-000273,C00138,2022-03-23,completed,1309.37,10.00,7.99,104.75,1283.18,debit_card,SAVE10
