payment_id,order_id,method,amount,status,transaction_date,currency,auth_code
PAY-000047,ORD-000047,google_pay,629.00,completed,2022-11-13 10:00:00,USD,AUTH-286983
PAY-000048,ORD-000048,apple_pay,92.53,pending,2023-05-18 04:00:00,CAD,AUTH-284824
PAY-000049,ORD-000049,credit_card,1475.27,completed,2023-06-13 18:00:00,USD,AUTH-605923
PAY-000050,ORD-000050,credit_card,874.16,completed,2022-10-28 17:00:00,USD,AUTH-596987
PAY-000051,ORD-000051,debit_card,146.94,completed,2023-12-31 16:00:00,USD,AUTH-700490
PAY-000052,ORD-000052,apple_pay,1415.10,completed,2022-12-10 06:00:00,USD,AUTH-274386
PAY-000053,ORD-000053,google_pay,399.74,completed,2022-01-28 23:00:00,CAD,AUTH-441949
PAY-000054,ORD-000054,credit_card,1392.17,completed,2022-11-14 10:00:00,USD,AUTH-967179
PAY-000055,ORD-000055,paypal,2223.81,completed,2022-08-28 17:00:00,CAD,AUTH-108266
PAY-000056,ORD-000056,credit_card,1977.89,completed,2024-12-07 16:00:00,EUR,AUTH-726733
PAY-000057,ORD-000057,credit_card,1868.77,completed,2022-10-19 12:00:00,CAD,AUTH-678319
PAY-000058,ORD-000058,debit_card,193.60,refunded,2022-08-17 09:00:00,GBP,AUTH-210105
PAY-000059,ORD-000059,credit_card,1392.80,completed,2024-11-18 03:00:00,CAD,AUTH-877524
PAY-000060,ORD-000060,credit_card,1632.12,refunded,2022-07-18 22:00:00,GBP,AUTH-654244
PAY-000061,ORD-000061,debit_card,2443.93,pending,2023-07-24 20:00:00,CAD,AUTH-460616
PAY-000062,ORD-000062,paypal,1688.25,completed,2025-03-31 22:00:00,USD,AUTH-189917
PAY-000063,ORD-000063,credit_card,2044.30,completed,2022-07-23 23:00:00,CAD,AUTH-515607
PAY-000064,ORD-000064,debit_card,2429.45,completed,2023-12-29 04:00:00,USD,AUTH-700858
PAY-000065,ORD-000065,bank_transfer,347.95,failed,2023-10-07 15:00:00,CAD,AUTH-880160
PAY-000066,ORD-000066,paypal,217.02,completed,2022-03-26 01:00:00,USD,AUTH-606462
PAY-000067,ORD-000067,debit_card,577.76,completed,2024-06-28 00:00:00,USD,AUTH-833871
PAY-000068,ORD-000068,bank_transfer,441.30,pending,2024-01-24 03:00:00,USD,AUTH-897693
PAY-000069,ORD-000069,credit_card,838.76,completed,2024-03-19 03:00:00,USD,AUTH-899629
PAY-000070,ORD-000070,paypal,321.65,completed,2024-04-08 16:00:00,EUR,AUTH-611298
PAY-000071,ORD-000071,bank_transfer,2172.72,completed,2024-04-08 00:00:00,USD,AUTH-476007
PAY-000072,ORD-000072,credit_card,635.68,completed,2024-10-15 05:00:00,USD,AUTH-310716
PAY-000073,ORD-000073,credit_card,1002.81,completed,2023-01-02 13:00:00,CAD,AUTH-428792
PAY-000074,ORD-000074,paypal,717.38,failed,2023-02-19 06:00:00,USD,AUTH-529567
PAY-000075,ORD-000075,google_pay,1483.22,failed,2025-01-13 00:00:00,GBP,AUTH-434373
PAY-000076,ORD-000076,paypal,1274.82,pending,2024-06-25 19:00:00,USD,AUTH-164227
PAY-000077,ORD-000077,bank_transfer,1684.01,pending,2023-10-03 10:00:00,GBP,AUTH-496126
PAY-000078,ORD-000078,paypal,565.70,completed,2024-03-12 18:00:00,EUR,AUTH-961403
PAY-000079,ORD-000079,apple_pay,343.58,completed,2022-04-03 02:00:00,CAD,AUTH-306086
PAY-000080,ORD-000080,debit_card,1127.73,completed,2024-01-03 08:00:00,USD,AUTH-421516
PAY-000081,ORD-000081,credit_card,2348.27,completed,2022-05-15 10:00:00,USD,AUTH-127281
PAY-000082,ORD-000082,bank_transfer,1398.07,completed,2024-05-15 00:00:00,USD,AUTH-761194
PAY-000083,ORD-000083,credit_card,1491.29,completed,2024-02-14 06:00:00,USD,AUTH-952252
PAY-000084,ORD-000084,debit_card,476.39,failed,2023-11-27 13:00:00,GBP,AUTH-833075
PAY-000085,ORD-000085,google_pay,598.74,completed,2025-01-02 14:00:00,EUR,AUTH-308234
PAY-000086,ORD-000086,bank_transfer,257.92,completed,2025-03-31 08:00:00,USD,AUTH-410159
PAY-000087,ORD-000087,google_pay,1772.79,completed,2022-06-08 09:00:00,EUR,AUTH-681943
PAY-000088,ORD-000088,credit_card,587.65,refunded,2024-04-04 13:00:00,USD,AUTH-825743
PAY-000089,ORD-000089,google_pay,1566.09,failed,2023-03-14 09:00:00,USD,AUTH-814993
PAY-000090,ORD-000090,google_pay,1265.41,completed,2024-01-17 08:00:00,USD,AUTH-520301
PAY-000091,ORD-000091,credit_card,1566.49,completed,2022-05-12 17:00:00,CAD,AUTH-142795
PAY-000092,ORD-000092,bank_transfer,426.66,completed,2022-08-22 19:00:00,CAD,AUTH-959415
PAY-000093,ORD-000093,paypal,558.31,completed,2022-03-17 03:00:00,USD,AUTH-447398
PAY-000094,ORD-000094,credit_card,2241.31,pending,2022-03-28 12:00:00,USD,AUTH-812613
PAY-000095,ORD-000095,debit_card,2422.96,completed,2024-04-14 22:00:00,CAD,AUTH-911826
PAY-000096,ORD-000096,bank_transfer,1390.42,completed,2024-12-04 06:00:00,USD,AUTH-726923
PAY-000097,ORD-000097,google_pay,697.61,completed,2023-10-04 11:00:00,USD,AUTH-992266
PAY-000098,ORD-000098,credit_card,2263.48,refunded,2023-03-16 11:00:00,GBP,AUTH-700090
PAY-000099,ORD-000099,paypal,791.44,completed,2022-08-21 22:00:00,USD,AUTH-759655
PAY-000100,ORD-000100,debit_card,2220.58,completed,2024-01-25 06:00:00,USD,AUTH-751793
PAY-000101,ORD-000101,bank_transfer,2446.09,completed,2024-01-14 23:00:00,EUR,AUTH-698378
PAY-000102,ORD-000102,debit_card,2505.45,completed,2024-03-15 10:00:00,EUR,AUTH-300527
PAY-000103,ORD-000103,paypal,2359.72,completed,2022-11-26 02:00:00,USD,AUTH-449778
PAY-000104,ORD-000104,credit_card,2386.87,completed,2024-04-26 18:00:00,USD,AUTH-199070
PAY-000105,ORD-000105,credit_card,1719.01,pending,2025-01-26 20:00:00,USD,AUTH-332658
PAY-000106,ORD-000106,credit_card,1623.61,completed,2023-02-14 06:00:00,USD,AUTH-615057
PAY-000107,ORD-000107,credit_card,2060.25,completed,2024-04-20 20:00:00,USD,AUTH-412674
PAY-000108,ORD-000108,apple_pay,2174.97,completed,2023-11-02 22:00:00,USD,AUTH-255600
PAY-000109,ORD-000109,credit_card,624.67,failed,2025-03-14 15:00:00,GBP,AUTH-659740
PAY-000110,ORD-000110,credit_card,123.12,completed,2022-12-13 03:00:00,USD,AUTH-948245
PAY-000111,ORD-000111,bank_transfer,285.82,refunded,2025-03-07 12:00:00,USD,AUTH-224736
PAY-000112,ORD-000112,google_pay,2571.21,completed,2023-01-26 23:00:00,USD,AUTH-704849
PAY-000113,ORD-000113,credit_card,2700.13,completed,2023-03-19 21:00:00,USD,AUTH-904285
PAY-000114,ORD-000114,bank_transfer,568.16,refunded,2023-06-22 07:00:00,CAD,AUTH-164928
PAY-000115,ORD-000115,google_pay,2400.64,completed,2023-10-25 12:00:00,EUR,AUTH-981419
PAY-000116,ORD-000116,apple_pay,181.82,completed,2025-02-14 00:00:00,GBP,AUTH-358997
PAY-000117,ORD-000117,credit_card,1689.23,completed,2024-10-31 00:00:00,USD,AUTH-752788
PAY-000118,ORD-000118,credit_card,422.51,completed,2023-06-18 19:00:00,USD,AUTH-767538
PAY-000119,ORD-000119,credit_card,396.75,failed,2024-06-05 23:00:00,USD,AUTH-684982
PAY-000120,ORD-000120,apple_pay,800.51,completed,2024-05-31 23:00:00,USD,AUTH-666198
PAY-000121,ORD-000121,credit_card,2081.74,completed,2024-10-04 23:00:00,GBP,AUTH-440277
PAY-000122,ORD-000122,google_pay,128.44,completed,2023-01-11 05:00:00,USD,AUTH-661720
PAY-000123,ORD-000123,bank_transfer,2191.53,completed,2024-01-01 04:00:00,USD,AUTH-160453
PAY-000124,ORD-000124,paypal,562.98,completed,2022-07-12 01:00:00,CAD,AUTH-361767
PAY-000125,ORD-000125,credit_card,1110.37,completed,2022-01-10 12:00:00,USD,AUTH-406335
PAY-000126,ORD-000126,credit_card,95.87,completed,2023-11-05 00:00:00,CAD,AUTH-673868
PAY-000127,ORD-000127,credit_card,1941.73,pending,2024-07-31 11:00:00,USD,AUTH-330068
PAY-000128,ORD-000128,credit_card,688.59,completed,2024-07-16 07:00:00,GBP,AUTH-101934
PAY-000129,ORD-000129,google_pay,1140.98,completed,2022-05-26 23:00:00,USD,AUTH-165381
PAY-000130,ORD-000130,google_pay,268.55,refunded,2024-03-27 11:00:00,EUR,AUTH-678955
PAY-000131,ORD-000131,credit_card,2176.18,failed,2024-10-03 00:00:00,GBP,AUTH-928899
PAY-000132,ORD-000132,google_pay,995.13,completed,2024-03-05 09:00:00,USD,AUTH-159180
PAY-000133,ORD-000133,debit_card,232.44,completed,2024-05-24 00:00:00,USD,AUTH-874559
PAY-000134,ORD-000134,bank_transfer,208.01,completed,2024-12-10 14:00:00,USD,AUTH-861396
PAY-000135,ORD-000135,credit_card,1861.46,completed,2023-09-09 03:00:00,USD,AUTH-212795
PAY-000136,ORD-000136,bank_transfer,276.82,completed,2024-11-18 15:00:00,EUR,AUTH-338377
PAY-000137,ORD-000137,bank_transfer,192.02,completed,2025-04-15 04:00:00,GBP,AUTH-583379
PAY-000138,ORD-000138,bank_transfer,255.73,completed,2022-04-04 14:00:00,CAD,AUTH-761177
PAY-000139,ORD-000139,google_pay,582.66,completed,2023-01-19 18:00:00,USD,AUTH-341944
PAY-000140,ORD-000140,bank_transfer,57.69,completed,2022-08-27 10:00:00,EUR,AUTH-389195
PAY-000141,ORD-000141,credit_card,2175.69,completed,2024-03-19 23:00:00,GBP,AUTH-118683
PAY-000142,ORD-000142,debit_card,2321.61,completed,2023-01-21 01:00:00,CAD,AUTH-747480
PAY-000143,ORD-000143,credit_card,375.53,completed,2024-08-08 06:00:00,GBP,AUTH-277302
PAY-000144,ORD-000144,paypal,65.31,completed,2024-08-23 07:00:00,USD,AUTH-755661
PAY-000145,ORD-000145,paypal,280.71,completed,2022-01-18 10:00:00,USD,AUTH-866993
PAY-000146,ORD-000146,credit_card,1237.49,completed,2024-11-17 09:00:00,EUR,AUTH-117826
PAY-000147,ORD-000147,credit_card,1517.02,completed,2023-10-10 10:00:00,EUR,AUTH-297223
PAY-000148,ORD-000148,apple_pay,88.04,completed,2024-06-13 21:00:00,USD,AUTH-441824
PAY-000149,ORD-000149,paypal,2342.26,completed,2025-04-18 11:00:00,USD,AUTH-552700
PAY-000150,ORD-000150,credit_card,2160.42,completed,2024-01-09 23:00:00,USD,AUTH-974224
PAY-000151,ORD-000151,paypal,1657.90,completed,2022-11-18 11:00:00,USD,AUTH-575603
PAY-000152,ORD-000152,credit_card,979.12,completed,2022-02-07 16:00:00,GBP,AUTH-726067
PAY-000153,ORD-000153,debit_card,900.62,completed,2023-11-24 07:00:00,GBP,AUTH-592184
PAY-000154,ORD-000154,credit_card,1695.66,completed,2023-12-30 12:00:00,USD,AUTH-678341
PAY-000155,ORD-000155,credit_card,2047.72,completed,2022-08-17 11:00:00,CAD,AUTH-646019
PAY-000156,ORD-000156,bank_transfer,2252.47,completed,2022-08-31 17:00:00,CAD,AUTH-840578
PAY-000157,ORD-000157,credit_card,410.37,completed,2022-07-23 12:00:00,USD,AUTH-985210
PAY-000158,ORD-000158,credit_card,588.88,completed,2022-01-14 17:00:00,GBP,AUTH-485606
PAY-000159,ORD-000159,google_pay,1009.09,refunded,2024-04-30 07:00:00,GBP,AUTH-792706
PAY-000160,ORD-000160,credit_card,2145.53,completed,2024-04-26 08:00:00,USD,AUTH-719424
PAY-000161,ORD-000161,google_pay,2558.74,completed,2024-11-25 08:00:00,USD,AUTH-528350
PAY-000162,ORD-000162,paypal,1812.97,completed,2022-03-17 01:00:00,USD,AUTH-484259
PAY-000163,ORD-000163,paypal,2251.33,completed,2025-02-08 00:00:00,USD,AUTH-555216
PAY-000164,ORD-000164,google_pay,1431.23,completed,2024-07-02 00:00:00,USD,AUTH-610650
PAY-000165,ORD-000165,paypal,938.90,completed,2025-01-06 13:00:00,USD,AUTH-722532
PAY-000166,ORD-000166,paypal,1415.36,completed,2023-10-02 07:00:00,USD,AUTH-124994
PAY-000167,ORD-000167,apple_pay,320.60,completed,2024-11-01 11:00:00,CAD,AUTH-823296
PAY-000168,ORD-000168,apple_pay,953.98,pending,2022-09-13 14:00:00,USD,AUTH-268757
PAY-000169,ORD-000169,debit_card,1401.00,completed,2023-08-07 03:00:00,CAD,AUTH-838230
PAY-000170,ORD-000170,credit_card,2121.55,pending,2023-01-30 19:00:00,GBP,AUTH-900922
PAY-000171,ORD-000171,bank_transfer,1162.50,completed,2022-05-09 16:00:00,USD,AUTH-301456
PAY-000172,ORD-000172,bank_transfer,1307.56,completed,2024-04-04 08:00:00,GBP,AUTH-904747
PAY-000173,ORD-000173,credit_card,1796.65,completed,2024-09-29 05:00:00,USD,AUTH-882815
PAY-000174,ORD-000174,bank_transfer,2349.04,completed,2024-11-17 17:00:00,CAD,AUTH-869063
PAY-000175,ORD-000175,credit_card,2489.85,completed,2024-01-27 10:00:00,EUR,AUTH-290321
PAY-000176,ORD-000176,paypal,340.19,completed,2022-11-10 19:00:00,USD,AUTH-851064
PAY-000177,ORD-000177,paypal,1931.46,completed,2022-10-19 12:00:00,USD,AUTH-249624
PAY-000178,ORD-000178,credit_card,17.76,pending,2024-09-28 04:00:00,CAD,AUTH-160495
PAY-000179,ORD-000179,credit_card,1189.31,completed,2025-03-04 03:00:00,CAD,AUTH-449467
PAY-000180,ORD-000180,google_pay,409.77,completed,2024-07-09 11:00:00,USD,AUTH-379894
PAY-000181,ORD-000181,credit_card,2228.12,completed,2022-04-05 12:00:00,USD,AUTH-167591
PAY-000182,ORD-000182,credit_card,1769.33,completed,2022-09-12 00:00:00,USD,AUTH-233969
PAY-000183,ORD-000183,credit_card,2423.21,completed,2024-10-27 09:00:00,CAD,AUTH-694624
PAY-000184,ORD-000184,credit_card,997.63,completed,2025-04-01 23:00:00,USD,AUTH-250327
PAY-000185,ORD-000185,paypal,933.58,completed,2023-01-06 08:00:00,GBP,AUTH-534673
PAY-000186,ORD-000186,credit_card,475.49,completed,2025-01-14 03:00:00,USD,AUTH-534532
PAY-000187,ORD-000187,credit_card,166.24,completed,2022-12-14 20:00:00,GBP,AUTH-824460
PAY-000188,ORD-000188,credit_card,1085.08,completed,2022-10-19 06:00:00,USD,AUTH-590775
PAY-000189,ORD-000189,credit_card,543.35,pending,2025-04-15 08:00:00,USD,AUTH-276179
PAY-000190,ORD-000190,debit_card,967.72,completed,2025-02-08 00:00:00,CAD,AUTH-805794
PAY-000191,ORD-000191,paypal,1828.03,completed,2025-04-16 23:00:00,EUR,AUTH-235487
PAY-000192,ORD-000192,credit_card,587.23,completed,2024-10-22 01:00:00,EUR,AUTH-296676
PAY-000193,ORD-000193,credit_card,1236.58,completed,2025-02-11 01:00:00,CAD,AUTH-574417
PAY-000194,ORD-000194,debit_card,759.68,completed,2024-09-15 15:00:00,EUR,AUTH-398164
PAY-000195,ORD-000195,credit_card,1540.39,completed,2024-12-30 23:00:00,EUR,AUTH-472255
PAY-000196,ORD-000196,bank_transfer,1585.91,refunded,2023-03-09 09:00:00,USD,AUTH-443880
PAY-000197,ORD-000197,credit_card,803.47,failed,2023-10-21 16:00:00,USD,AUTH-591177
PAY-000198,ORD-000198,google_pay,1668.94,completed,2022-01-21 07:00:00,USD,AUTH-689776
PAY-000199,ORD-000199,google_pay,1268.78,completed,2022-06-09 17:00:00,EUR,AUTH-181635
PAY-000200,ORD-000200,credit_card,350.78,completed,2022-01-19 18:00:00,CAD,AUTH-610371
PAY-000201,ORD-000201,debit_card,413.45,completed,2024-01-03 04:00:00,USD,AUTH-671956
PAY-000202,ORD-000202,debit_card,1878.04,completed,2024-10-07 03:00:00,USD,AUTH-755971
PAY-000203,ORD-000203,credit_card,1364.96,refunded,2025-03-12 20:00:00,USD,AUTH-334596
PAY-000204,ORD-000204,paypal,572.93,completed,2022-09-19 04:00:00,GBP,AUTH-221264
PAY-000205,ORD-000205,google_pay,1356.89,completed,2024-12-28 02:00:00,USD,AUTH-158359
PAY-000206,ORD-000206,apple_pay,628.45,completed,2024-04-14 07:00:00,USD,AUTH-425854
PAY-000207,ORD-000207,apple_pay,145.07,completed,2023-04-06 20:00:00,USD,AUTH-476785
PAY-000208,ORD-000208,credit_card,2391.19,pending,2022-06-18 10:00:00,GBP,AUTH-220520
PAY-000209,ORD-000209,google_pay,200.85,refunded,2023-09-30 09:00:00,USD,AUTH-566819
PAY-000210,ORD-000210,apple_pay,305.62,completed,2023-05-22 07:00:00,USD,AUTH-338140
PAY-000211,ORD-000211,credit_card,1779.82,completed,2024-06-17 02:00:00,USD,AUTH-152610
PAY-000212,ORD-000212,paypal,2116.67,refunded,2022-05-15 08:00:00,USD,AUTH-680376
PAY-000213,ORD-000213,credit_card,1530.13,completed,2022-04-26 14:00:00,USD,AUTH-235869
PAY-000214,ORD-000214,apple_pay,1061.81,completed,2022-01-23 15:00:00,CAD,AUTH-931751
PAY-000215,ORD-000215,debit_card,532.79,completed,2025-04-18 15:00:00,CAD,AUTH-325220
PAY-000216,ORD-000216,debit_card,835.28,completed,2023-06-10 23:00:00,CAD,AUTH-824916
PAY-000217,ORD-000217,credit_card,1299.43,completed,2023-10-02 16:00:00,USD,AUTH-893124
PAY-000218,ORD-000218,credit_card,797.35,completed,2023-12-04 02:00:00,USD,AUTH-412880
PAY-000219,ORD-000219,debit_card,2646.95,refunded,2023-02-05 09:00:00,USD,AUTH-106293
PAY-000220,ORD-000220,google_pay,1777.75,failed,2023-11-10 02:00:00,USD,AUTH-703441
PAY-000221,ORD-000221,bank_transfer,1353.17,completed,2022-03-28 15:00:00,USD,AUTH-886184
PAY-000222,ORD-000222,credit_card,1993.64,pending,2023-11-10 04:00:00,USD,AUTH-343448
PAY-000223,ORD-000223,bank_transfer,104.75,refunded,2024-01-04 12:00:00,CAD,AUTH-814956
PAY-000224,ORD-000224,paypal,556.60,refunded,2022-03-02 09:00:00,USD,AUTH-955348
PAY-000225,ORD-000225,credit_card,503.36,completed,2023-05-19 04:00:00,CAD,AUTH-366977
PAY-000226,ORD-000226,debit_card,940.34,completed,2022-08-16 08:00:00,GBP,AUTH-432431
PAY-000227,ORD-000227,credit_card,2027.77,completed,2024-12-16 10:00:00,EUR,AUTH-218554
PAY-000228,ORD-000228,debit_card,1391.54,failed,2023-01-28 06:00:00,USD,AUTH-232405
PAY-000229,ORD-000229,paypal,2036.44,completed,2023-08-27 17:00:00,USD,AUTH-933133
PAY-000230,ORD-000230,google_pay,1630.86,completed,2022-06-16 12:00:00,USD,AUTH-142634
PAY-000231,ORD-000231,bank_transfer,489.59,completed,2024-08-08 04:00:00,USD,AUTH-287996
PAY-000232,ORD-000232,bank_transfer,1765.96,completed,2025-04-12 00:00:00,GBP,AUTH-359440
PAY-000233,ORD-000233,paypal,1855.45,completed,2024-05-21 07:00:00,EUR,AUTH-694248
PAY-000234,ORD-000234,credit_card,664.40,completed,2022-06-22 16:00:00,CAD,AUTH-435919
PAY-000235,ORD-000235,paypal,1132.46,completed,2024-08-15 15:00:00,EUR,AUTH-796272
PAY-000236,ORD-000236,paypal,729.09,completed,2023-04-25 15:00:00,CAD,AUTH-665658
PAY-000237,ORD-000237,debit_card,280.31,completed,2023-04-13 16:00:00,GBP,AUTH-354965
PAY-000238,ORD-000238,paypal,828.63,completed,2023-05-28 15:00:00,GBP,AUTH-547324
PAY-000239,ORD-000239,bank_transfer,1921.85,failed,2023-12-11 11:00:00,CAD,AUTH-794757
PAY-000240,ORD-000240,bank_transfer,631.21,failed,2023-04-13 16:00:00,USD,AUTH-262427
PAY-000241,ORD-000241,bank_transfer,2080.47,completed,2023-10-04 05:00:00,CAD,AUTH-467175
PAY-000242,ORD-000242,apple_pay,2377.16,completed,2025-03-29 23:00:00,GBP,AUTH-994970
PAY-000243,ORD-000243,credit_card,1691.37,completed,2024-04-06 23:00:00,USD,AUTH-532799
PAY-000244,ORD-000244,debit_card,2529.74,refunded,2022-11-11 08:00:00,USD,AUTH-888145
PAY-000245,ORD-000245,credit_card,1238.65,completed,2023-01-22 07:00:00,USD,AUTH-883347
PAY-000246,ORD-000246,credit_card,78.58,completed,2022-12-31 23:00:00,USD,AUTH-163315
PAY-000247,ORD-000247,credit_card,802.90,completed,2024-03-02 20:00:00,USD,AUTH-256675
PAY-000248,ORD-000248,credit_card,433.15,completed,2022-01-23 23:00:00,GBP,AUTH-600378
PAY-000249,ORD-000249,paypal,1066.17,failed,2022-05-22 16:00:00,USD,AUTH-833382
PAY-000250,ORD-000250,bank_transfer,1974.49,completed,2025-03-24 18:00:00,CAD,AUTH-138081
PAY-000251,ORD-000251,apple_pay,1125.18,completed,2022-10-20 04:00:00,USD,AUTH-605254
PAY-000252,ORD-000252,apple_pay,137.09,pending,2025-03-25 16:00:00,EUR,AUTH-991604
PAY-000253,ORD-000253,google_pay,1146.11,completed,2022-12-25 02:00:00,USD,AUTH-780928
PAY-000254,ORD-000254,paypal,684.48,completed,2022-04-01 11:00:00,USD,AUTH-315209
PAY-000255,ORD-000255,credit_card,2193.35,failed,2024-04-23 18:00:00,CAD,AUTH-901538
PAY-000256,ORD-000256,credit_card,581.94,completed,2022-12-04 14:00:00,USD,AUTH-659504
PAY-000257,ORD-000257,paypal,2098.77,completed,2024-03-28 21:00:00,CAD,AUTH-440000
PAY-000258,ORD-000258,debit_card,1342.19,completed,2024-08-08 05:00:00,CAD,AUTH-158737
PAY-000259,ORD-000259,credit_card,2274.78,pending,2023-07-27 07:00:00,USD,AUTH-505426
PAY-000260,ORD-000260,bank_transfer,468.30,completed,2024-03-12 03:00:00,USD,AUTH-813760
PAY-000261,ORD-000261,credit_card,1981.32,completed,2022-03-13 03:00:00,CAD,AUTH-702819
PAY-000262,ORD-000262,google_pay,928.20,completed,2023-09-26 00:00:00,USD,AUTH-917979
PAY-000263,ORD-000263,credit_card,552.92,completed,2023-05-04 15:00:00,USD,AUTH-660224
PAY-000264,ORD-000264,credit_card,608.16,completed,2022-05-10 14:00:00,USD,AUTH-119536
PAY-000265,ORD-000265,google_pay,1549.63,completed,2023-10-23 14:00:00,USD,AUTH-496228
PAY-000266,ORD-000266,apple_pay,986.17,failed,2022-08-06 17:00:00,CAD,AUTH-824659
PAY-000267,ORD-000267,credit_card,193.37,pending,2023-03-27 17:00:00,USD,AUTH-377388
PAY-000268,ORD-000268,paypal,2654.65,failed,2024-10-20 09:00:00,USD,AUTH-272252
PAY-000269,ORD-000269,apple_pay,1835.55,completed,2024-03-07 18:00:00,GBP,AUTH-986016
PAY-000270,ORD-000270,credit_card,1019.87,pending,2025-04-14 21:00:00,GBP,AUTH-121458
PAY-000271,ORD-000271,credit_card,766.84,completed,2022-09-13 01:00:00,USD,AUTH-147093
