item_id,order_id,product_id,quantity,unit_price,line_total
ITEM-000081,ORD-000028,P0060,3,199.99,599.97
ITEM-000082,ORD-000029,P0049,4,24.99,99.96
ITEM-000083,ORD-000029,P0010,1,29.99,29.99
ITEM-000084,ORD-000029,P0070,1,149.99,149.99
ITEM-000085,ORD-000029,P0002,3,24.99,74.97
ITEM-000086,ORD-000030,P0059,1,199.99,199.99
ITEM-000087,ORD-000030,P0006,4,19.99,79.96
ITEM-000088,ORD-000031,P0003,1,59.99,59.99
ITEM-000089,ORD-000032,P0020,2,14.99,29.98
ITEM-000090,ORD-000033,P0015,4,99.99,399.96
ITEM-000091,ORD-000033,P0022,2,299.99,599.98
ITEM-000092,ORD-000034,P0006,1,19.99,19.99
ITEM-000093,ORD-000034,P0041,1,39.99,39.99
ITEM-000094,ORD-000034,P0013,4,499.99,1999.96
ITEM-000095,ORD-000034,P0005,2,799.99,1599.98
ITEM-000096,ORD-000034,P0016,3,999.99,2999.97
ITEM-000097,ORD-000035,P0015,4,99.99,399.96
ITEM-000098,ORD-000035,P0001,1,799.99,799.99
ITEM-000099,ORD-000035,P0049,1,24.99,24.99
ITEM-000100,ORD-000035,P0060,1,199.99,199.99
ITEM-000101,ORD-000035,P0056,3,999.99,2999.97
ITEM-000102,ORD-000036,P0040,2,49.99,99.98
ITEM-000103,ORD-000036,P0011,2,19.99,39.98
ITEM-000104,ORD-000036,P0055,3,79.99,239.97
ITEM-000105,ORD-000036,P0030,1,799.99,799.99
ITEM-000106,ORD-000036,P0023,4,299.99,1199.96
ITEM-000107,ORD-000037,P0018,4,49.99,199.96
ITEM-000108,ORD-000037,P0043,1,99.99,99.99
ITEM-000109,ORD-000037,P0065,4,799.99,3199.96
ITEM-000110,ORD-000038,P0019,1,199.99,199.99
ITEM-000111,ORD-000038,P0014,2,999.99,1999.98
ITEM-000112,ORD-000038,P0009,3,19.99,59.97
ITEM-000113,ORD-000038,P0063,3,59.99,179.97
ITEM-000114,ORD-000039,P0050,1,39.99,39.99
ITEM-000115,ORD-000039,P0041,2,39.99,79.98
ITEM-000116,ORD-000039,P0042,3,185.47,556.41
ITEM-000117,ORD-000040,P0011,2,19.99,39.98
ITEM-000118,ORD-000040,P0067,3,29.99,89.97
ITEM-000119,ORD-000041,P0068,4,39.99,159.96
ITEM-000120,ORD-000041,P0007,3,127.36,382.08
ITEM-000121,ORD-000041,P0043,3,99.99,299.97
ITEM-000122,ORD-000042,P0022,3,299.99,899.97
ITEM-000123,ORD-000043,P0033,4,99.99,399.96
ITEM-000124,ORD-000043,P0018,2,49.99,99.98
ITEM-000125,ORD-000044,P0048,2,49.99,99.98
ITEM-000126,ORD-000044,P0023,1,299.99,299.99
ITEM-000127,ORD-000045,P0042,4,189.17,756.68
ITEM-000128,ORD-000045,P0037,2,29.99,59.98
ITEM-000129,ORD-000045,P0065,2,799.99,1599.98
ITEM-000130,ORD-000045,P0057,1,149.99,149.99
ITEM-000131,ORD-000046,P0003,1,59.99,59.99
ITEM-000132,ORD-000046,P0052,2,39.99,79.98
ITEM-000133,ORD-000047,P0017,4,9.99,39.96
ITEM-000134,ORD-000047,P0002,4,24.99,99.96
ITEM-000135,ORD-000047,P0031,4,19.99,79.96
ITEM-000136,ORD-000047,P0014,4,999.99,3999.96
ITEM-000137,ORD-000047,P0068,3,39.99,119.97
ITEM-000138,ORD-000048,P0067,4,29.99,119.96
ITEM-000139,ORD-000048,P0022,1,299.99,299.99
ITEM-000140,ORD-000048,P0023,4,299.99,1199.96
ITEM-000141,ORD-000049,P0008,3,199.99,599.97
ITEM-000142,ORD-000049,P0006,4,19.99,79.96
ITEM-000143,ORD-000050,P0005,4,799.99,3199.96
ITEM-000144,ORD-000050,P0050,4,39.99,159.96
ITEM-000145,ORD-000051,P0056,2,999.99,1999.98
ITEM-000146,ORD-000051,P0023,4,299.99,1199.96
ITEM-000147,ORD-000051,P0049,3,24.99,77.35
ITEM-000148,ORD-000051,P0005,1,799.99,799.99
ITEM-000149,ORD-000052,P0033,4,99.99,399.96
ITEM-000150,ORD-000053,P0054,3,999.99,2999.97
ITEM-000151,ORD-000054,P0266,4,75.39,301.56
ITEM-000152,ORD-000054,P0033,4,99.99,399.96
ITEM-000153,ORD-000054,P0065,1,799.99,799.99
ITEM-000154,ORD-000054,P0034,2,14.99,29.98
ITEM-000155,ORD-000054,P0039,4,999.99,3999.96
ITEM-000156,ORD-000055,P0045,2,149.99,299.98
ITEM-000157,ORD-000056,P0022,2,299.99,599.98
ITEM-000158,ORD-000056,P0060,2,199.99,399.98
ITEM-000159,ORD-000056,P0065,4,799.99,3199.96
ITEM-000160,ORD-000057,P0019,4,199.99,799.96
ITEM-000161,ORD-000057,P0023,4,299.99,1199.96
ITEM-000162,ORD-000058,P0042,2,104.93,209.86
ITEM-000163,ORD-000058,P0033,3,99.99,299.97
ITEM-000164,ORD-000058,P0069,3,59.99,179.97
ITEM-000165,ORD-000058,P0038,4,39.99,159.96
ITEM-000166,ORD-000059,P0044,2,24.99,49.98
ITEM-000167,ORD-000059,P0036,1,29.99,29.99
ITEM-000168,ORD-000059,P0008,1,199.99,199.99
ITEM-000169,ORD-000060,P0013,2,499.99,999.98
ITEM-000170,ORD-000060,P0039,4,999.99,3999.96
ITEM-000171,ORD-000061,P0042,2,196.82,393.64
ITEM-000172,ORD-000061,P0038,2,39.99,79.98
ITEM-000173,ORD-000061,P0046,2,49.99,99.98
ITEM-000174,ORD-000061,P0026,2,39.99,79.98
ITEM-000175,ORD-000062,P0043,3,99.99,299.97
ITEM-000176,ORD-000062,P0032,4,9.99,39.96
ITEM-000177,ORD-000062,P0028,4,499.99,1999.96
ITEM-000178,ORD-000063,P0021,4,99.99,399.96
ITEM-000179,ORD-000063,P0017,3,9.99,29.97
ITEM-000180,ORD-000063,P0068,3,39.99,119.97
ITEM-000181,ORD-000063,P0054,2,999.99,1999.98
ITEM-000182,ORD-000063,P0047,1,499.99,499.99
ITEM-000183,ORD-000064,P0071,1,39.99,39.99
ITEM-000184,ORD-000064,P0001,2,799.99,1599.98
ITEM-000185,ORD-000065,P0060,1,199.99,199.99
ITEM-000186,ORD-000065,P0051,1,799.99,799.99
ITEM-000187,ORD-000066,P0059,1,199.99,199.99
ITEM-000188,ORD-000066,P0062,3,199.99,599.97
ITEM-000189,ORD-000066,P0002,1,24.99,24.99
ITEM-000190,ORD-000067,P0011,3,19.99,59.97
ITEM-000191,ORD-000068,P0014,3,999.99,2999.97
ITEM-000192,ORD-000068,P0049,2,24.99,49.98
ITEM-000193,ORD-000068,P0020,3,14.99,44.97
ITEM-000194,ORD-000068,P0028,2,499.99,999.98
ITEM-000195,ORD-000068,P0009,1,19.99,19.99
ITEM-000196,ORD-000069,P0046,4,49.99,199.96
ITEM-000197,ORD-000070,P0044,2,24.99,49.98
ITEM-000198,ORD-000070,P0005,4,799.99,3199.96
ITEM-000199,ORD-000070,P0009,3,19.99,59.97
ITEM-000200,ORD-000070,P0049,1,24.99,24.99
ITEM-000201,ORD-000071,P0057,3,149.99,449.97
ITEM-000202,ORD-000071,P0018,1,49.99,49.99
ITEM-000203,ORD-000071,P0016,1,999.99,999.99
ITEM-000204,ORD-000072,P0072,3,39.99,119.97
ITEM-000205,ORD-000072,P0012,2,39.99,79.98
ITEM-000206,ORD-000072,P0008,1,199.99,199.99
ITEM-000207,ORD-000072,P0004,1,9.99,9.99
ITEM-000208,ORD-000072,P0034,2,14.99,29.98
ITEM-000209,ORD-000073,P0063,4,59.99,239.96
ITEM-000210,ORD-000073,P0029,3,199.99,599.97
ITEM-000211,ORD-000073,P0018,4,49.99,199.96
ITEM-000212,ORD-000073,P0002,3,24.99,74.97
ITEM-000213,ORD-000074,P0058,2,499.99,999.98
ITEM-000214,ORD-000074,P0053,1,79.99,79.99
ITEM-000215,ORD-000075,P0023,4,299.99,1199.96
ITEM-000216,ORD-000075,P0049,4,24.99,99.96
ITEM-000217,ORD-000075,P0026,2,39.99,79.98
ITEM-000218,ORD-000075,P0022,1,299.99,299.99
ITEM-000219,ORD-000075,P0051,1,799.99,799.99
ITEM-000220,ORD-000076,P0032,4,9.99,39.96
ITEM-000221,ORD-000076,P0011,3,19.99,59.97
ITEM-000222,ORD-000076,P0008,2,199.99,399.98
ITEM-000223,ORD-000077,P0065,3,799.99,2399.97
ITEM-000224,ORD-000077,P0061,2,49.99,99.98
ITEM-000225,ORD-000077,P0011,4,19.99,79.96
ITEM-000226,ORD-000077,P0036,3,29.99,89.97
ITEM-000227,ORD-000077,P0014,2,999.99,1999.98
ITEM-000228,ORD-000078,P0029,3,199.99,599.97
ITEM-000229,ORD-000078,P0004,2,9.99,19.98
ITEM-000230,ORD-000078,P0049,2,24.99,49.98
ITEM-000231,ORD-000078,P0033,1,99.99,99.99
ITEM-000232,ORD-000078,P0015,4,99.99,399.96
ITEM-000233,ORD-000079,P0039,3,999.99,2999.97
ITEM-000234,ORD-000079,P0018,1,49.99,49.99
ITEM-000235,ORD-000079,P0070,3,149.99,449.97
ITEM-000236,ORD-000079,P0041,3,39.99,119.97
ITEM-000237,ORD-000080,P0034,4,14.99,59.96
ITEM-000238,ORD-000080,P0032,3,9.99,29.97
ITEM-000239,ORD-000080,P0072,2,39.99,79.98
ITEM-000240,ORD-000080,P0038,4,39.99,159.96
ITEM-000241,ORD-000081,P0040,4,49.99,199.96
ITEM-000242,ORD-000081,P0043,2,99.99,199.98
ITEM-000243,ORD-000082,P0037,3,29.99,89.97
ITEM-000244,ORD-000082,P0044,3,24.99,74.97
ITEM-000245,ORD-000083,P0036,2,29.99,59.98
ITEM-000246,ORD-000084,P0003,1,59.99,59.99
ITEM-000247,ORD-000085,P0039,4,999.99,3999.96
ITEM-000248,ORD-000086,P0015,4,99.99,399.96
ITEM-000249,ORD-000087,P0068,2,39.99,79.98
ITEM-000250,ORD-000087,P0042,1,147.05,147.05
ITEM-000251,ORD-000087,P0036,4,29.99,119.96
ITEM-000252,ORD-000087,P0048,4,49.99,199.96
ITEM-000253,ORD-000088,P0017,2,9.99,19.98
ITEM-000254,ORD-000088,P0056,3,999.99,2999.97
ITEM-000255,ORD-000088,P0023,2,299.99,599.98
ITEM-000256,ORD-000088,P0028,1,499.99,499.99
ITEM-000257,ORD-000089,P0017,3,9.99,29.97
ITEM-000258,ORD-000090,P0026,-3,39.99,119.97
ITEM-000259,ORD-000090,P0043,4,99.99,399.96
ITEM-000260,ORD-000090,P0024,2,29.99,59.98
ITEM-000261,ORD-000091,P0063,3,59.99,179.97
ITEM-000262,ORD-000091,P0028,2,499.99,999.98
ITEM-000263,ORD-000091,P0014,3,999.99,2999.97
ITEM-000264,ORD-000091,P0023,3,299.99,899.97
ITEM-000265,ORD-000092,P0063,1,59.99,59.99
ITEM-000266,ORD-000092,P0005,1,799.99,799.99
ITEM-000267,ORD-000092,P0016,4,999.99,3999.96
ITEM-000268,ORD-000092,P0029,3,199.99,599.97
ITEM-000269,ORD-000092,P0013,1,499.99,499.99
ITEM-000270,ORD-000093,P0031,2,19.99,39.98
ITEM-000271,ORD-000093,P0027,4,499.99,1999.96
ITEM-000272,ORD-000093,P0047,2,499.99,999.98
ITEM-000273,ORD-000093,P0072,3,39.99,119.97
ITEM-000274,ORD-000094,P0023,3,299.99,899.97
ITEM-000275,ORD-000094,P0016,3,999.99,2999.97
ITEM-000276,ORD-000094,P0044,2,24.99,49.98
ITEM-000277,ORD-000094,P0012,4,39.99,159.96
ITEM-000278,ORD-000094,P0055,4,79.99,319.96
ITEM-000279,ORD-000095,P0059,1,199.99,199.99
ITEM-000280,ORD-000096,P0042,3,180.25,540.75
ITEM-000281,ORD-000096,P0028,1,499.99,499.99
ITEM-000282,ORD-000097,P0045,3,149.99,449.97
ITEM-000283,ORD-000098,P0023,2,299.99,599.98
ITEM-000284,ORD-000098,P0043,4,99.99,399.96
ITEM-000285,ORD-000098,P0056,3,999.99,2999.97
ITEM-000286,ORD-000098,P0021,2,99.99,199.98
ITEM-000287,ORD-000098,P0062,2,199.99,399.98
ITEM-000288,ORD-000099,P0056,1,999.99,999.99
ITEM-000289,ORD-000100,P0001,4,799.99,3199.96
ITEM-000290,ORD-000100,P0019,4,199.99,799.96
ITEM-000291,ORD-000101,P0038,1,39.99,39.99
ITEM-000292,ORD-000101,P0020,3,14.99,44.97
ITEM-000293,ORD-000101,P0061,2,49.99,99.98
ITEM-000294,ORD-000101,P0062,4,199.99,799.96
ITEM-000295,ORD-000101,P0043,4,99.99,399.96
ITEM-000296,ORD-000102,P0007,3,16.86,50.58
ITEM-000297,ORD-000102,P0057,4,149.99,599.96
ITEM-000298,ORD-000103,P0014,4,999.99,3999.96
ITEM-000299,ORD-000103,P0017,3,9.99,29.97
ITEM-000300,ORD-000103,P0070,3,149.99,449.97
ITEM-000301,ORD-000103,P0041,3,39.99,119.97
ITEM-000302,ORD-000104,P0054,3,999.99,2999.97
ITEM-000303,ORD-000105,P0031,3,19.99,59.97
ITEM-000304,ORD-000105,P0027,4,499.99,1999.96
ITEM-000305,ORD-000105,P0013,3,499.99,1499.97
ITEM-000306,ORD-000105,P0011,3,19.99,59.97
ITEM-000307,ORD-000105,P0012,1,39.99,39.99
ITEM-000308,ORD-000106,P0050,1,39.99,39.99
ITEM-000309,ORD-000106,P0017,1,9.99,9.99
ITEM-000310,ORD-000107,P0002,2,24.99,49.98
ITEM-000311,ORD-000107,P0032,3,9.99,29.97
ITEM-000312,ORD-000107,P0053,1,79.99,79.99
ITEM-000313,ORD-000107,P0022,3,299.99,899.97
ITEM-000314,ORD-000108,P0019,4,199.99,799.96
ITEM-000315,ORD-000108,P0012,3,39.99,119.97
ITEM-000316,ORD-000109,P0012,2,39.99,79.98
ITEM-000317,ORD-000109,P0026,4,39.99,159.96
ITEM-000318,ORD-000109,P0008,1,199.99,199.99
ITEM-000319,ORD-000109,P0057,3,149.99,449.97
ITEM-000320,ORD-000110,P0038,1,39.99,39.99
ITEM-000321,ORD-000110,P0042,1,98.20,98.20
ITEM-000322,ORD-000110,P0035,3,9.99,29.97
ITEM-000323,ORD-000110,P0040,3,49.99,149.97
ITEM-000324,ORD-000110,P0026,4,39.99,159.96
ITEM-000325,ORD-000111,P0061,3,49.99,149.97
ITEM-000326,ORD-000111,P0038,1,39.99,39.99
ITEM-000327,ORD-000111,P0016,2,999.99,1999.98
ITEM-000328,ORD-000111,P0054,1,999.99,999.99
ITEM-000329,ORD-000112,P0032,2,9.99,19.98
ITEM-000330,ORD-000112,P0026,2,39.99,79.98
ITEM-000331,ORD-000112,P0023,4,299.99,1199.96
ITEM-000332,ORD-000112,P0047,2,499.99,999.98
ITEM-000333,ORD-000113,P0043,4,99.99,399.96
ITEM-000334,ORD-000114,P0060,4,199.99,799.96
ITEM-000335,ORD-000114,P0065,1,799.99,799.99
ITEM-000336,ORD-000114,P0049,4,24.99,99.96
ITEM-000337,ORD-000115,P0024,3,29.99,89.97
ITEM-000338,ORD-000116,P0059,4,199.99,799.96
ITEM-000339,ORD-000117,P0055,1,79.99,79.99
ITEM-000340,ORD-000117,P0006,3,19.99,59.97
ITEM-000341,ORD-000117,P0050,2,39.99,79.98
ITEM-000342,ORD-000117,P0046,4,49.99,199.96
ITEM-000343,ORD-000118,P0007,4,107.45,429.80
ITEM-000344,ORD-000119,P0048,4,49.99,199.96
ITEM-000345,ORD-000119,P0045,3,149.99,449.97
ITEM-000346,ORD-000119,P0027,4,499.99,1999.96
ITEM-000347,ORD-000119,P0018,3,49.99,149.97
ITEM-000348,ORD-000120,P0034,1,14.99,14.99
ITEM-000349,ORD-000121,P0035,3,9.99,29.97
ITEM-000350,ORD-000121,P0002,2,24.99,49.98
ITEM-000351,ORD-000122,P0056,3,999.99,2999.97
ITEM-000352,ORD-000122,P0067,4,29.99,119.96
ITEM-000353,ORD-000122,P0037,1,29.99,29.99
ITEM-000354,ORD-000122,P0066,1,29.99,29.99
ITEM-000355,ORD-000122,P0027,1,499.99,499.99
ITEM-000356,ORD-000123,P0071,2,39.99,79.98
ITEM-000357,ORD-000124,P0066,4,29.99,119.96
ITEM-000358,ORD-000125,P0050,2,39.99,79.98
ITEM-000359,ORD-000126,P0071,1,39.99,39.99
ITEM-000360,ORD-000126,P0016,1,999.99,999.99
ITEM-000361,ORD-000126,P0028,2,499.99,999.98
ITEM-000362,ORD-000126,P0019,1,199.99,199.99
ITEM-000363,ORD-000126,P0062,4,199.99,799.96
ITEM-000364,ORD-000127,P0017,1,9.99,9.99
ITEM-000365,ORD-000127,P0013,1,499.99,499.99
ITEM-000366,ORD-000127,P0053,4,79.99,319.96
ITEM-000367,ORD-000127,P0043,3,99.99,299.97
ITEM-000368,ORD-000127,P0001,4,799.99,3199.96
ITEM-000369,ORD-000128,P0002,4,24.99,99.96
ITEM-000370,ORD-000128,P0014,4,999.99,3999.96
ITEM-000371,ORD-000128,P0066,3,29.99,89.97
ITEM-000372,ORD-000128,P0005,2,799.99,1599.98
ITEM-000373,ORD-000129,P0053,3,79.99,239.97
ITEM-000374,ORD-000129,P0017,1,9.99,9.99
ITEM-000375,ORD-000130,P0017,2,9.99,19.98
ITEM-000376,ORD-000130,P0067,1,29.99,29.99
ITEM-000377,ORD-000130,P0029,4,199.99,799.96
ITEM-000378,ORD-000131,P0044,1,24.99,24.99
ITEM-000379,ORD-000131,P0011,2,19.99,39.98
ITEM-000380,ORD-000131,P0063,1,59.99,59.99
ITEM-000381,ORD-000131,P0026,4,39.99,159.96
ITEM-000382,ORD-000132,P0032,3,9.99,29.97
ITEM-000383,ORD-000132,P0015,2,99.99,199.98
ITEM-000384,ORD-000132,P0031,4,19.99,79.96
ITEM-000385,ORD-000133,P0024,4,29.99,119.96
ITEM-000386,ORD-000133,P0045,4,149.99,599.96
ITEM-000387,ORD-000133,P0044,3,24.99,74.97
ITEM-000388,ORD-000133,P0032,1,9.99,9.99
ITEM-000389,ORD-000134,P0067,2,29.99,59.98
ITEM-000390,ORD-000135,P0056,1,999.99,999.99
ITEM-000391,ORD-000135,P0055,4,79.99,319.96
ITEM-000392,ORD-000135,P0044,2,24.99,49.98
ITEM-000393,ORD-000136,P0015,3,99.99,299.97
ITEM-000394,ORD-000136,P0059,3,199.99,599.97
ITEM-000395,ORD-000136,P0022,2,299.99,599.98
ITEM-000396,ORD-000136,P0061,4,49.99,199.96
ITEM-000397,ORD-000136,P0013,2,499.99,999.98
ITEM-000398,ORD-000137,P0012,3,39.99,119.97
ITEM-000399,ORD-000137,P0025,1,19.99,19.99
ITEM-000400,ORD-000137,P0037,2,29.99,59.98
ITEM-000401,ORD-000137,P0016,2,999.99,1999.98
ITEM-000402,ORD-000137,P0030,3,799.99,2399.97
ITEM-000403,ORD-000138,P0002,4,24.99,99.96
ITEM-000404,ORD-000138,P0061,3,49.99,149.97
ITEM-000405,ORD-000138,P0040,4,49.99,199.96
ITEM-000406,ORD-000138,P0054,3,999.99,2999.97
ITEM-000407,ORD-000139,P0055,3,79.99,239.97
ITEM-000408,ORD-000139,P0041,2,39.99,79.98
ITEM-000409,ORD-000139,P0039,1,999.99,999.99
ITEM-000410,ORD-000140,P0063,2,59.99,119.98
ITEM-000411,ORD-000140,P0028,3,499.99,1499.97
ITEM-000412,ORD-000140,P0072,3,39.99,119.97
ITEM-000413,ORD-000140,P0023,4,299.99,1199.96
ITEM-000414,ORD-000140,P0014,4,999.99,3999.96
ITEM-000415,ORD-000141,P0006,2,19.99,39.98
ITEM-000416,ORD-000141,P0045,1,149.99,149.99
ITEM-000417,ORD-000141,P0008,3,199.99,599.97
ITEM-000418,ORD-000142,P0027,3,499.99,1499.97
ITEM-000419,ORD-000143,P0048,3,49.99,149.97
ITEM-000420,ORD-000143,P0007,4,127.74,510.96
ITEM-000421,ORD-000143,P0070,4,149.99,599.96
ITEM-000422,ORD-000143,P0054,2,999.99,1999.98
ITEM-000423,ORD-000144,P0063,2,59.99,119.98
ITEM-000424,ORD-000144,P0035,3,9.99,29.97
ITEM-000425,ORD-000144,P0038,1,39.99,39.99
ITEM-000426,ORD-000144,P0062,2,199.99,399.98
ITEM-000427,ORD-000144,P0011,3,19.99,59.97
ITEM-000428,ORD-000145,P0067,3,29.99,89.97
ITEM-000429,ORD-000145,P0032,1,9.99,9.99
ITEM-000430,ORD-000146,P0055,3,79.99,239.97
ITEM-000431,ORD-000147,P0018,3,49.99,149.97
ITEM-000432,ORD-000147,P0058,4,499.99,1999.96
ITEM-000433,ORD-000147,P0054,2,999.99,1999.98
ITEM-000434,ORD-000147,P0049,1,24.99,24.99
ITEM-000435,ORD-000148,P0064,2,9.99,19.98
ITEM-000436,ORD-000148,P0007,4,93.71,374.84
ITEM-000437,ORD-000148,P0031,4,19.99,79.96
ITEM-000438,ORD-000148,P0030,4,799.99,3199.96
ITEM-000439,ORD-000149,P0040,3,49.99,149.97
ITEM-000440,ORD-000149,P0013,2,499.99,999.98
ITEM-000441,ORD-000149,P0005,4,799.99,3199.96
ITEM-000442,ORD-000150,P0015,2,99.99,199.98
ITEM-000443,ORD-000151,P0002,2,24.99,49.98
ITEM-000444,ORD-000152,P0005,2,799.99,1599.98
ITEM-000445,ORD-000152,P0032,4,9.99,39.96
ITEM-000446,ORD-000152,P0043,1,99.99,99.99
ITEM-000447,ORD-000153,P0026,1,39.99,39.99
ITEM-000448,ORD-000153,P0018,1,49.99,49.99
ITEM-000449,ORD-000153,P0007,4,85.50,342.00
ITEM-000450,ORD-000153,P0028,3,499.99,1499.97
ITEM-000451,ORD-000154,P0047,4,499.99,1999.96
ITEM-000452,ORD-000154,P0013,4,499.99,1999.96
ITEM-000453,ORD-000154,P0065,4,799.99,3199.96
ITEM-000454,ORD-000154,P0035,3,9.99,29.97
ITEM-000455,ORD-000155,P0065,4,799.99,3199.96
ITEM-000456,ORD-000155,P0063,4,59.99,239.96
ITEM-000457,ORD-000155,P0046,1,49.99,49.99
ITEM-000458,ORD-000156,P0038,1,39.99,39.99
ITEM-000459,ORD-000157,P0038,-4,39.99,159.96
ITEM-000460,ORD-000157,P0054,2,999.99,1999.98
ITEM-000461,ORD-000157,P0009,2,19.99,39.98
ITEM-000462,ORD-000157,P0007,3,28.32,84.96
ITEM-000463,ORD-000158,P0027,4,499.99,1999.96
ITEM-000464,ORD-000158,P0018,4,49.99,199.96
ITEM-000465,ORD-000158,P0064,3,9.99,29.97
ITEM-000466,ORD-000158,P0067,2,29.99,59.98
ITEM-000467,ORD-000158,P0051,1,799.99,799.99
ITEM-000468,ORD-000159,P0030,2,799.99,1599.98
ITEM-000469,ORD-000160,P0043,3,99.99,299.97
ITEM-000470,ORD-000160,P0008,2,199.99,399.98
ITEM-000471,ORD-000160,P0030,3,799.99,2399.97
ITEM-000472,ORD-000160,P0007,1,28.36,28.36
ITEM-000473,ORD-000161,P0006,4,19.99,79.96
ITEM-000474,ORD-000161,P0057,3,149.99,449.97
ITEM-000475,ORD-000162,P0029,2,199.99,399.98
ITEM-000476,ORD-000163,P0023,4,299.99,1199.96
ITEM-000477,ORD-000163,P0037,4,29.99,119.96
ITEM-000478,ORD-000163,P0048,1,49.99,49.99
